ID_encuestado,Edad,Lugar_Residencia,Ocupacion,Vehiculo_Propio,Transporte_Publico,Cambio_Climatico,Contaminacion_Vehicular,Medidas_Correctivas,Opinion_Vehiculo_Electrico,Preferencia_Vehiculo_Electrico,Limitaciones_Vehiculo_Electrico
A01,22,Este del Pais,Estudiante,"Si, vehiculo de LPG",Nunca,2,4,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Popularizacion de servicios para compartir taxis.",Siento que RD no cuenta con la infraestructura necesaria ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A02,21,Este del Pais,Estudiante,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,3,5,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Legislación para limitar el volumen del sonido de los vehiculos en transito","si, sería lo mejor para el medio ambiente y combatir el ruido ambiental ",Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A03,26,Cibao/ Norte del Pais,Sector Ingeniería y Tecnico,"Si, vehiculo de gasolina",Algunas veces al mes,5,4,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas)",Si,Si,No conozco lo suficiente de vehículos eléctricos
A04,29,Cibao/ Norte del Pais,Sector Servicio / Culinario / Hotelero,"Si, vehiculo de gasolina",Nunca,5,5,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación,si,Si,No conozco lo suficiente de vehículos eléctricos
A05,25,Cibao/ Norte del Pais,Sector Salud,"Si, vehiculo de gasolina",Algunas veces al mes,5,4,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación, Legislación para limitar el volumen del sonido de los vehiculos en transito",Si,Si,No conozco lo suficiente de vehículos eléctricos
A06,30,Cibao/ Norte del Pais,Sector Ingeniería y Tecnico,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,5,3,Estoy satisfecho con el sistema actual.,,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A07,33,Santo Domingo,Sector Educación,No,Diario,4,5,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación, Legislación para limitar el volumen del sonido de los vehiculos en transito, Popularizacion de servicios para compartir taxis.",Pienso que este tipo de vehiculos es muy caro. Lo consideraria pero a largo plazo por el costo. ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A08,22,Cibao/ Norte del Pais,Estudiante,"Sí, vehiculo electrico",Diario,0,0,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,"Muy bien, no contaminan el medio ambiente ",Si,No conozco lo suficiente de vehículos eléctricos
A09,40,Cibao/ Norte del Pais,Sector Ingeniería y Técnico,"Sí, vehiculo de gasolina",Diario,4,2,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el volumen del sonido de los vehículos en tránsito.",Son una opcion para reducir las emisiones,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A10,60,Santo Domingo,Sector Ingeniería y Técnico,"Sí, vehiculo de gasolina",Nunca,3,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.",No hay muchos porque son caros,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
